string,classification,Model
"var=!!!!!'...""!!'."".`...'.....'@`!!!!!`....""@@@@@`!!!!!'@`@@@@@'...""'@@@@@'""...'!!!`!!`@@""'@@`..'!!'@@@@""@@@@@`!!!!'!""@@@@@'!!!`!!!!""!!!""!!!!!'....''@'"".`@@@@`'!!""@`@@@@'!'!'.....'!!!`@@@`.'!!`!'!!!`!!!!!`""@`@@@`!!!'@`@@@@""...""!!!!!'@@@'!'.....'!!!'....`@@@`@""...`...'@@@@@`...""@@@@""..""@@@``!""@@@""@@@""@@@""..""'....`!!'@""...'@@@@""@@@""!!!!!'...`...""!!!!`@@@'!'@@@@@""@@@`.....""....""'....""""!!!!""@@'!!!!!""....'!!!!!""!!!`@@@@""@""@@@'@@@@@""!!!!!""`!!!!""@@@@'```..""...""!!!'!`""@@@`!!!`""@@@@''`@@@@"".....''..""@@@""!!!!`@@@@@'!!!!"".`@@@@@``!!`!!!!""!!"".`'@@'@@@`!!!!!""!!!!!'@@@@'!!!!!`@@@@@"".....``.""@@"".'!!!!!'!!'@@@""`.....`@@'""@@@@`'""@@@@`!!!!'""!!!!`!`@@@@""@@@@""!!""!!!!!'@@""...`""'.`""@""@@@@@""!!""!!!!""@@@`@@'!!"".....`!!!`@@""@`@@@`'....'@@@""`@@@@@``!!""@""..'!!!!!`@@@@'...."".....'`!!!'!""@``'`'@'@@@@'!!'@@`!""`!!!'..""'@@@``.....'.....'@@""""'....."".`!`@@`!`@@@@'@@@'""..`!`@@@``@@@@""!!!!!"".`!!'`@@@@`@@@@@'"".""...'...'.....'@@@@@`.'@@@'!!!!!""@""@`'!!!'@'@@@@`@@@@`'@@@@@`!!!`@@""...`..'.....'.''!`.""""!!!'.....""@@@""@@@@@`...'.`""..'!`!!!!`..`....""'@@@@""..'.'....'@@`...""!""""!`!!!!!'!!'""'....'""!!!'@@@'.....""...`..`@@@@@`""@@`.'!'!!!!!'....`!!!'!'@``...""!!!!`'@""""@""...`@@'..""!!!!`..'@@'@@'..""@@@@`....`@@@`@@@@`""!!!`!`@@@""..'@@@`@@``""@@@@""!!`@@""@`!!`'.....'@@@@@"".`!!!!`!!`.....""!!''!""@@@''""@@@@`....`"".'!!!'@@@@`...'..`!!`...`!`@@'.....'@@''@@'..'.'@""'!""@@""!!!'`.....`....."".`@`@@@`.."".....`@@@@""'!!!!!`@@@@""@@@@@'....`.'....'!!!`!!!!!`..'.'@@""`@@@`.....'...'!!!!`..`....`@@@'!!!'`!!!!'...`@@@`....`'@@@@'@@`..'@@'..'""!""@@@'...""!!!!!`@@@@@""@@@@""`!'..`!!!'@@@""!!!!'@@@@""@`""....."".....'@@@@@'!!!!'@'@@@@@'`'""!""!!!!`@@@@@'.."".`@@@@@"".``!!!!!`!!!""...`@""!!!!""!!`@@@@`!!!!""@'!!!`'@@@@"".....`....""...`!!!!`!!!!!'@@`@@@@'@`!"".....""!!!'@@@@'....""@@@@@`@'.....""!!!`@@`!!!!!""`@@@@'!!!""...`@`...'...`!!!""!!!!'!'!!`.`!!`..""..`.....""..""....'!!!!'`@@@@@""!!!!""@@@@@'@@@@@`.`....``@@@@""'@'@`!!!!!'...'@@@@@'.'.....`!!`!!!!!""""@@@'@`!!!""!!!!!'..""....'!!!!!'...`.....`@""!!!!''!!!!!""`'!!!'..`@`!!!!!'`'!!'!!!`!!!!'@`""!`.....'@@@@@'.....`!!`@@@'...`!!!`@@@""""!!!!!""@@@@'@""."".""@@@@@""@`....`....'!!!!!""!!!!`!!!!!'....'!!!!`""`@@@@@`...""@`@@""@@@@@'!!'""@@`'""@@@""!`'!!!!!`...'@@""!!!'!'!!!`!!!!!`"".....""!!!!'@@@@`!!'.....""!!!""!!""!!""@@'!!!!""@@@@'@@@@'....`@@@`@""...'.....'@@""@@@""!!!!!""...'..""!""@@@@@'....`@@@@""'!!!!!`@@""'@@@@@`!!!'@@@'`.'!!!""....`@'.....""@@@@@'@`@@@@`@@@`!!!!!`'!!!'....""""!!'...'!!!'...'@""....""@@'!!!!'.....""@@@@'""....""...'!!!`....""@@@""...'@'..`!!'@@@@@`@`!!!!!'.....`'""""''.""`!!""@@`!""`!!'..`!!!!`!!!!!`@@""!!!!!`@@`....`@@@@@""@@@@`.....`''...'""""@@`.....""""'@`''.....""@'`.....`@""@@@@'!!!!`@@@'@@@@@""!!!!`.""!!'@'""!!!!`@@'@@@@'!!''..''!!!!!'@'.`!!!!!'@@@@'!!'@@@@""...""`'@@@""@@@""""!!!""!!`...'.....`@@@`!!!`@@@@@""""!!!`!!!!!''!!!!""....'!!!!!'!!!""!!!!!'""....`'@@'!'.....""!""!!!!!""!!!!""...'""@@@`@@@@@''!!'...."".....""!!!""@@@@@'!!!!`"".....`..`""!!!""""'...'@@@@'.....'!!!`...'.""!!!!!'!'!!!""@'.....'!!!!""@'...'!!'@@""@@@@@`..'!'.....""""!!!!!'@@@@""@@@`.....`!!!!!'....''@@@@'.....'!`....""...""!!!!'!!""@'@@@@@'!!!""!!!!'!!!!`''..""""!!!'""!`..""''`..""!""!!!!!'..'..'.''!!!!`'!!!!`..'!!"".....""!!!!'!!!'....`.....""..."""""".""'.`!!!!""`@"".....'!!!!""@`...""."".....''..""'!!!!!`....""!!!""..`!!!!`!!!!'....`'@@@""'.'....""@@@`!!!!""@@@@@'!!!`@@@@`.""..""@@""!`""!!!!'''.'""@@@""@@@'....""!!!!!""!!!!""!'`'!!!`!'...`!!!!'...'@@@@@`!!`!!!""@`@@@@@`'`..""""!!'""@@'...""..""....""'`@@'....'@@@@""`!!`.`@'!`!""...'...'.....'!!""..""""@'!!!'@@"".'!!!`@``!!!`!!""...'.""!!!'...""!!!!`@@@@`"".'!!`.....`!!`!!!!!'.'@@@@@""!!!`..'!!!!!'!!`@@'!!!'.""!!!!"".""@@@@@""!!!""!!""""!!!`'!!`@@@@@'..'@`.....""!!!'.'!!!!''....""@@'@@@@@``or",MaliciousIntended-but-safe,Gemini 3 (pro)
admin%40juice-sh.op\'and%20likely%20(id)--,MaliciousIntended-but-safe,Gemini 3 (pro)
var=\'or'1,MaliciousIntended-but-safe,Gemini 3 (pro)
"var=\""""or""""1",MaliciousIntended-but-safe,Gemini 3 (pro)
var=\`or\`1,MaliciousIntended-but-safe,Gemini 3 (pro)
var=\'and,MaliciousIntended-but-safe,Gemini 3 (pro)
var='or'1,MaliciousIntended-but-safe,Gemini 3 (pro)
var=\'fooor,MaliciousIntended-but-safe,Gemini 3 (pro)
var=newline,Safe,Gemini 3 (pro)
\'and1,MaliciousIntended-but-safe,Gemini 3 (pro)
var=Incorrectly constructed SQL statements,Safe,Gemini 3 (pro)
or using comments to even block the rest of the query (there are three types of SQL comments[14]). All three lines have a space at the end:,Safe,Gemini 3 (pro)
email=admin@juice-sh.op';&password=foo,MaliciousIntended-but-safe,Gemini 3 (pro)
email=admin@juice-sh.op';,MaliciousIntended-but-safe,Gemini 3 (pro)
"email=admin@juice-sh.op"""";",MaliciousIntended-but-safe,Gemini 3 (pro)
email=admin@juice-sh.op`;,MaliciousIntended-but-safe,Gemini 3 (pro)
email='foo';'bar';'def',MaliciousIntended-but-safe,Gemini 3 (pro)
email=`foo`;`bar`;`def`,MaliciousIntended-but-safe,Gemini 3 (pro)
email=root@example.com'/* comment */;,MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""b\"""":2}'::jsonb <@ '{\""""a\"""":1, \""""b\"""":2}'::jsonb",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""b\"""":2}'::jsonb <@ '{\""""a\"""":1, \""""b\"""":2}'::jsonb",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""b\"""":2}'::jsonb <@ '{\""""a\"""":1, \""""b\"""":2}'",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""b\"""":2}'::jsonb <@ '{\""""a\"""":1, \""""b\"""":2}'",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""b\"""":2}' <@ '{\""""a\"""":1, \""""b\"""":2}'::jsonb",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""b\"""":2}' <@ '{\""""a\"""":1, \""""b\"""":2}'::jsonb",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""b\"""":2}'::json <@ '{\""""a\"""":1, \""""b\"""":2}'",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""b\"""":2}'::json <@ '{\""""a\"""":1, \""""b\"""":2}'",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""b\"""":2}' <@ '{\""""a\"""":1, \""""b\"""":2}'::json",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""b\"""":2}' <@ '{\""""a\"""":1, \""""b\"""":2}'::json",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""b\"""":2}'::jsonb @> '{\""""a\"""":1, \""""b\"""":2}'::jsonb",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""b\"""":2}'::jsonb @> '{\""""a\"""":1, \""""b\"""":2}'::jsonb",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""b\"""":2}'::jsonb < '{\""""a\"""":1, \""""b\"""":2}'::jsonb",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""b\"""":2}'::jsonb < '{\""""a\"""":1, \""""b\"""":2}'::jsonb",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""b\"""":2}'::jsonb > '{\""""a\"""":1, \""""b\"""":2}'::jsonb",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""b\"""":2}'::jsonb > '{\""""a\"""":1, \""""b\"""":2}'::jsonb",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""a\"""":2,""""c"""":[4,5,{\""""f\"""":7}]}' -> '$.c[2].f' = 7",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""a\"""":2,""""c"""":[4,5,{\""""f\"""":7}]}' -> '$.c[2].f' = 7",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""a\"""":2,""""c"""":[4,5,{\""""f\"""":7}]}' <- '$.c[2].f' = 7",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""a\"""":2,""""c"""":[4,5,{\""""f\"""":7}]}' <- '$.c[2].f' = 7",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR json_extract('{\""""id\"""": 14, \""""name\"""": \""""Aztalan\""""}', '$.name') = 'Aztalan'",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR json_extract('{\""""id\"""": 14, \""""name\"""": \""""Aztalan\""""}', '$.name') = 'Aztalan'",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=blah/""""}' and data @> '{\""""a\"""":\""""a\""""}' union select ASCII(s.token) from unnset(string_to_array((select cookie from cookie limit 1 ),NULL)) s(token)--/state",MaliciousIntended-but-safe,Gemini 3 (pro)
"/blah/""""}' and data @> '{\""""a\"""":\""""a\""""}' union select ASCII(s.token) from unnset(string_to_array((select cookie from cookie limit 1 ),NULL)) s(token)--/state",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""a\"""":\""""b\""""}' ? 'a'",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""a\"""":\""""b\""""}' ? 'a'",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '[1,2]' ? '1'",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '[1,2]' ? '1'",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""name\"""":\""""asd\""""}' ?| array['a','name']",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""name\"""":\""""asd\""""}' ?| array['a','name']",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""name\"""":\""""asd\""""}' ?& array['a','name']",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""name\"""":\""""asd\""""}' ?& array['a','name']",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '[1,2,3]'::json ->> 2='3'",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '[1,2,3]'::json ->> 2='3'",MaliciousIntended-but-safe,Gemini 3 (pro)
"id=OR '{\""""a\"""":1}'::jsonb #> '{a,b}' ? 'c'",MaliciousIntended-but-safe,Gemini 3 (pro)
"/OR '{\""""a\"""":1}'::jsonb #> '{a,b}' ? 'c'",MaliciousIntended-but-safe,Gemini 3 (pro)
"email=1.e(ascii+1.e(substring(1.e(select+password+from+users+limit+1+1.e,1+1.e)+1.e,1+1.e,1+1.e)1.e)1.e)+=+70+or'1'='2",MaliciousIntended-but-safe,Gemini 3 (pro)
foo=1.e(ascii),MaliciousIntended-but-safe,Gemini 3 (pro)
