string,classification,Model
var=id'is not-id--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=id'is notes,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=id'not like id--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=id'not glob-id--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x'|email--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x'-email--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x'%2Bemail--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x'^email--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x'@email--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x'&email--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x'<email--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x'>email--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x'=email--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x'/email--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x'%email--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x'~email--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=x' mod id--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var='sounds like rowid--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var='/**/*2--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=foo'or'oof,Malicious-Unsafe,ChatGPT5.2 thinking
var=foo\''or'oof,MaliciousIntended-but-safe,ChatGPT5.2 thinking
email=' is not?--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=a'or'a,Malicious-Unsafe,ChatGPT5.2 thinking
var=a'or?--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=is this your parents' or yours?,Safe,ChatGPT5.2 thinking
var=user'and id is not?--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=it is your parents' and yours,Safe,ChatGPT5.2 thinking
var=bob's or alice's,Safe,ChatGPT5.2 thinking
var=mother or daughter,Safe,ChatGPT5.2 thinking
var='oreo,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var='fork,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=' for,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=''or,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var='''or 1,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=\'lol' or '1,MaliciousIntended-but-safe,ChatGPT5.2 thinking
' OR '1'='1,Malicious-Unsafe,ChatGPT5.2 thinking
' OR '1'='1' --,Malicious-Unsafe,ChatGPT5.2 thinking
' OR '1'='1' {,MaliciousIntended-but-safe,ChatGPT5.2 thinking
' OR '1'='1' /* ,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=!!!!!<very long fuzz payload omitted>or,MaliciousIntended-but-safe,ChatGPT5.2 thinking
admin%40juice-sh.op\'and%20likely%20(id)--,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=\'or'1,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"var=\""or""1",MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=\`or`1,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=\'and,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var='or'1,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=\'fooor,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=newline,Safe,ChatGPT5.2 thinking
\'and1,MaliciousIntended-but-safe,ChatGPT5.2 thinking
var=Incorrectly constructed SQL statements,Safe,ChatGPT5.2 thinking
or using comments to even block the rest of the query (there are three types of SQL comments[14]). All three lines have a space at the end:,Safe,ChatGPT5.2 thinking
email=admin@juice-sh.op';&password=foo,MaliciousIntended-but-safe,ChatGPT5.2 thinking
email=admin@juice-sh.op';,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"email=admin@juice-sh.op"";",MaliciousIntended-but-safe,ChatGPT5.2 thinking
email=admin@juice-sh.op`;,MaliciousIntended-but-safe,ChatGPT5.2 thinking
email='foo';'bar';'def',MaliciousIntended-but-safe,ChatGPT5.2 thinking
email=`foo`;`bar`;`def`,MaliciousIntended-but-safe,ChatGPT5.2 thinking
email=root@example.com'/* comment */;,MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""b"":2}'::jsonb <@ '{""a"":1, ""b"":2}'::jsonb",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""b"":2}'::jsonb <@ '{""a"":1, ""b"":2}'::jsonb",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""b"":2}'::jsonb <@ '{""a"":1, ""b"":2}'",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""b"":2}'::jsonb <@ '{""a"":1, ""b"":2}'",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""b"":2}' <@ '{""a"":1, ""b"":2}'::jsonb",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""b"":2}' <@ '{""a"":1, ""b"":2}'::jsonb",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""b"":2}'::json <@ '{""a"":1, ""b"":2}'",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""b"":2}'::json <@ '{""a"":1, ""b"":2}'",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""b"":2}' <@ '{""a"":1, ""b"":2}'::json",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""b"":2}' <@ '{""a"":1, ""b"":2}'::json",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""b"":2}'::jsonb @> '{""a"":1, ""b"":2}'::jsonb",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""b"":2}'::jsonb @> '{""a"":1, ""b"":2}'::jsonb",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""b"":2}'::jsonb < '{""a"":1, ""b"":2}'::jsonb",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""b"":2}'::jsonb < '{""a"":1, ""b"":2}'::jsonb",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""b"":2}'::jsonb > '{""a"":1, ""b"":2}'::jsonb",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""b"":2}'::jsonb > '{""a"":1, ""b"":2}'::jsonb",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""a"":2,""c"":[4,5,{""f"":7}]}' -> '$.c[2].f' = 7",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""a"":2,""c"":[4,5,{""f"":7}]}' -> '$.c[2].f' = 7",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""a"":2,""c"":[4,5,{""f"":7}]}' <- '$.c[2].f' = 7",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"/OR '{""a"":2,""c"":[4,5,{""f"":7}]}' <- '$.c[2].f' = 7",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR json_extract('{""id"": 14, ""name"": ""Aztalan""}', '$.name') = 'Aztalan'",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR json_extract('{""id"": 14, ""name"": ""Aztalan""}', '$.name') = 'Aztalan'",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=blah/""}' and data @> '{""a"":""a""}' union select ASCII(s.token) from unnset(string_to_array((select cookie from cookie limit 1 ),NULL)) s(token)--/state",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"/blah/""}' and data @> '{""a"":""a""}' union select ASCII(s.token) from unnset(string_to_array((select cookie from cookie limit 1 ),NULL)) s(token)--/state",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""a"":""b""}' ? 'a'",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""a"":""b""}' ? 'a'",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '[1,2]' ? '1'",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '[1,2]' ? '1'",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""name"":""asd""}' ?| array['a','name']",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""name"":""asd""}' ?| array['a','name']",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""name"":""asd""}' ?& array['a','name']",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""name"":""asd""}' ?& array['a','name']",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '[1,2,3]'::json ->> 2='3'",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '[1,2,3]'::json ->> 2='3'",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"id=OR '{""a"":1}'::jsonb #> '{a,b}' ? 'c'",Malicious-Unsafe,ChatGPT5.2 thinking
"/OR '{""a"":1}'::jsonb #> '{a,b}' ? 'c'",MaliciousIntended-but-safe,ChatGPT5.2 thinking
"email=1.e(ascii+1.e(substring(1.e(select+password+from+users+limit+1+1.e,1+1.e)+1.e,1+1.e,1+1.e)1.e)1.e)+=+70+or'1'='2",MaliciousIntended-but-safe,ChatGPT5.2 thinking
foo=1.e(ascii),MaliciousIntended-but-safe,ChatGPT5.2 thinking
